Input,Output
candiheao,candiheal
albjgest,albigest
cloocin,clorocin
clisif,clisic
varditel,carditel
doxasosin,doxazosin
blazed,bilazed
bavmol,bavmol
budcel,budecel
stiom,astiom
aucosis,audosis
eizeral,dizeral
dlosidin,closidin
olors,colors
crimix,crimox
anrix,anriz
azitreat,azitreat
delpocurd,delpocure
ambvox,ambivox
rilo,dilo
amisa,amisal
broseet,brozeet
axhnil,axunil
aziatk,azitak
acedr,acedril
capzolr,capzole
acfix,acfix
amroxxil,amroxil
sbicer,abicer
amgrto,amgrot
acrorac,acrotac
lcoper,cloper
clindawep,clindawel
albendaiwn,albendawin
aftemotial,artemotial
apitrqte,apitrate
cavosil,clavosil
fortyliv,cortyliv
ccindol,cindol
anthqcain,anthacain
alnwhist,alnahist
cantomlx,cantomox
ceffal,ceftal
azti,aztime
astga,astha
cwtipen,cetipen
adol,aldol
betakund,betakind
acet,aceten
lcavuxan,clavuxan
actodoran,actoforan
hepan,bepan
cazrol,casrol
azklet,azilet
bdevipil,brevipil
anxelet,andelet
anggidil,angidil
daptopril,captopril
csbay,cebay
cliwid,cliaid
alleegem,allergem
acelst,acelist
adnsto,adensto
bsnzopin,benzopin
astnanon,asthanon
scelox,acelox
clkncure,clincure
acnovvate,acnovate
connim,conim
lconacare,clonacare
acanep,avanep
cadipylate,cadiphylate
apoomol,aplomol
bislide,bisulide
ucridec,curidec
axodil,axodil
akoxyjet,amoxyjet
clsvsun,clavsun
atropine,atropine
altranido,aaltranido
cpzol,cozol
bioba,bicoba
reyorafenib,regorafenib
vactilid,bactilid
alko,aloo
amixude,amixide
certawin,ceftawin
docuaate,docusate
adgest,adygest
niozit,biozit
acoxjm,acoxim
bytro,bythro
nloss,conloss
cefpllore,cefpolore
antipid,antipod
cocl,cpcl
vasopress,vasopressin
apiright,capiright
ceeftatica,ceftatica
asifn,asifin
cefgld,cefgold
aftisin,artisin
cefifoxx,cefiroxx
anxyn,anxynil
mieazolam,midazolam
azeeferm,azeeterm
cypozab,cypozan
cipwin,cipwin
atorvjl,atorvil
bepozc,bepozic
abekos,albekos
cfzip,cufzip
amigrac,amigraf
simethione,simethicone
srlax,arlax
clogegod,clobegod
broscaphnee,broscaphene
sevelsmer,sevelamer
argihops,argihope
ademsto,adensto
clomipraamine,clomipramine
cefhens,cefhenz
eftriemm,ceftriemm
kagnesium,magnesium
aziv,azivox
azwtop,azetop
alkaoina,alkalina
assacb,assacab
benlwr,benlar
ibflu,biflu
ciflsy,cifley
cawnid,cawind
allitophylinw,allitophyline
cartiylad,cartiglad
ronil,acronil
cepgalexin,cephalexin
bpzude,bpzide
hixigard,bixigard
xitivil,citivil
afnoe,afone
arsole,adsole
ccortr,cortr
harsolone,barsolone
assflam,asflam
bonuptra,bonultra
aarlex,arlex
aoimox,apimox
agjkuff,agikuff
scfeo,acfeo
tpill,actpill
alkdac,alkadac
cetiite,cetirite
brueiff,bruriff
citivokvin,citivolvin
ascdoryl,ascodryl
augumed,augumed
bactamjk,bactamik
cvpine,cgpine
azic,azicod
dermiegn,dermigen
cetoperacin,cefoperacin
dulkcare,dulocare
cllinwell,clinwell
abipiv,abiliv
betesla,beteala
benaad,benad
foshpenytoin,fosphenytoin
aztrid,aztric
avogeet,avogest
allofive,allotive
aizluk,aziluk
idspel,dispel
byflan,byflam
cepof,cepod
aristat,aristat
bexlomate,beclomate
aokaday,alkaday
alasin,alaxin
cuctii,cuciti
cloospeed,clospeed
beaucix,beaucox
corfwx,corfax
sdesera,adesera
aullac,avullac
cetrikond,cetrikind
aura,abura
arenall,arsenall
aazidale,azidale
cfaigesic,cafigesic
cegrub,cefrub
imdinavir,indinavir
bilacallm,bilacalm
clarksjnate,clarksunate
blitra,belitra
beagrame,betagrame
currobact,curobact
cefnip,cefinip
atorjx,atorix
atenollix,atenolix
corfne,corfen
aleprife,alepride
aadcon,adcon
bontr,bontor
amecuf,amecuf
cojghmate,coughmate
bemoxiin,bemoxin
amipro,amipri
czrbozar,carbozar
coopace,clopace
alcobab,alcoban
